Work Order,Start Date,Start Time,Duration(hrs),Contract,Type,Location,Addl Loc,Description,Status,Substatus,Project Manager,Flags,End Date,End Time,GR,Suites
110054,4/7/2019,5:00:00 PM,48,CFTTNGQ,TEST,BLD,,CITY OF LONG BEACH,CANCEL,PEND,Bonda Madhusudana Rao,EXP,4/9/2019,5:00:00 PM,GR,ELDORA NCA5 OFFICE-230
110064,2/25/2019,8:00:00 AM,72,CFTMAXG,TEST,RTP,,IGA WWPA,CANCEL,CONF,Noor Mohammed,EXP,2/28/2019,8:00:00 AM,GR,GRANDFATHER_MTN
110069,9/25/2019,8:00:00 AM,4,CFTRXBF,TEST,STF,,PACIFIC INVESTMENT MANAGEMENT CO,ACTIVE,CONF,Ajas Abdulsalam,EBRS,9/25/2019,12:00:00 PM,GR,
110069,9/25/2019,8:00:00 AM,4,CFTRXCF,TEST,STF,IRU,PACIFIC INVESTMENT MANAGEMENT CO,ACTIVE,CONF,Ajas Abdulsalam,EBRS ACD,9/25/2019,12:00:00 PM,GR,BOWLINGALLEY
110070,10/7/2019,8:00:00 AM,48,CFTRXCF,SETUP,STF,IRU,PACIFIC INVESTMENT MANAGEMENT CO blade.c,ACTIVE,CONF,Ajas Abdulsalam,,10/9/2019,8:00:00 AM,GR,FIR
110070,10/9/2019,8:00:00 AM,8,CFTRXBF,TEST,STF,,PACIFIC INVESTMENT MANAGEMENT CO,ACTIVE,CONF,Ajas Abdulsalam,EBRS,10/9/2019,4:00:00 PM,GR,
110070,10/9/2019,8:00:00 AM,8,CFTRXCF,TEST,STF,IRU,PACIFIC INVESTMENT MANAGEMENT CO,ACTIVE,CONF,Ajas Abdulsalam,EBRS ACD,10/9/2019,4:00:00 PM,GR,FIR
110076,5/31/2019,8:00:00 AM,48,CFTYABD,SETUP,BLD,,DOLE FOOD CO INC cs setup-,ACTIVE,CONF,JATINDRA DASH,,6/2/2019,8:00:00 AM,GR,SNOWMASS
110076,6/2/2019,12:00:00 AM,8,CFTX80D,SETUP,BLD,,DOLE FOOD CO INC LPAR Setup-,ACTIVE,CONF,JATINDRA DASH,,6/2/2019,8:00:00 AM,GR,SNOWMASS
110076,6/2/2019,8:00:00 AM,36,CFTYAND,TEST,BLD,,DOLE FOOD CO INC,ACTIVE,CONF,JATINDRA DASH,,6/3/2019,8:00:00 PM,GR,
110076,6/2/2019,8:00:00 AM,36,CFTX82D,TEST,BLD,,DOLE FOOD CO INC,ACTIVE,CONF,JATINDRA DASH,,6/3/2019,8:00:00 PM,GR,SNOWMASS
110076,6/2/2019,8:00:00 AM,36,CFTX8ZD,TEST,BLD,IRU,DOLE FOOD CO INC,ACTIVE,CONF,JATINDRA DASH,EBRS,6/3/2019,8:00:00 PM,GR,
110076,6/2/2019,8:00:00 AM,36,CFTYABD,TEST,BLD,,DOLE FOOD CO INC,ACTIVE,CONF,JATINDRA DASH,,6/3/2019,8:00:00 PM,GR,SNOWMASS
110076,6/2/2019,8:00:00 AM,36,CFTX80D,TEST,BLD,,DOLE FOOD CO INC,ACTIVE,CONF,JATINDRA DASH,,6/3/2019,8:00:00 PM,GR,SNOWMASS
110076,6/3/2019,8:00:00 PM,8,CFTX80D,BREAKDWN,BLD,,DOLE FOOD CO INC LPAR brkdwn -,ACTIVE,CONF,JATINDRA DASH,,6/4/2019,4:00:00 AM,GR,SNOWMASS
110077,10/17/2019,6:00:00 AM,48,CFTYABD,SETUP,BLD,,DOLE FOOD CO INC c/s set-up,ACTIVE,CONF,JATINDRA DASH,,10/19/2019,6:00:00 AM,GR,VAIL
110077,10/18/2019,6:00:00 AM,24,CFTYAND,SETUP,BLD,,DOLE FOOD CO INC extened set-up,ACTIVE,CONF,JATINDRA DASH,,10/19/2019,6:00:00 AM,GR,VAIL
110077,10/18/2019,6:00:00 AM,24,CFTX82D,SETUP,BLD,,DOLE FOOD CO INC extended set-up,ACTIVE,CONF,JATINDRA DASH,,10/19/2019,6:00:00 AM,GR,ASPEN
110077,10/18/2019,6:00:00 AM,24,CFTX8ZD,SETUP,BLD,IRU,DOLE FOOD CO INC extended set-up,ACTIVE,CONF,JATINDRA DASH,EBRS,10/19/2019,6:00:00 AM,GR,
